Subject Common Name,Subject Org Name,Country Name,Org Unit Name,Validity Period,Key Signature,Serial Number,SHA1,SHA2,Issuer Subject Common Name,Issuer Subject Org Name,Issuer Country,Issuer Org Unit Name
AlwaysOnSSL TLS ECC CA G1,CertCenter AG,DE,Domain Validated SSL,2017-11-02 => 2027-11-02,EC 256 / sha256ecdsaWithECEncryption,011fa23dfc8625dbf754b2948ee68689,81CC4C19028F22B840983AB4BEAD825DDCD9F8D3,BD193C475E4E67938BEF34122B98B558A2882E7ED94369A6CB011320EF15623C,DigiCert Global Root G3,DigiCert Inc,US,www.digicert.com
GeoTrust TLS ECC CA G1,DigiCert Inc,US,www.digicert.com,2017-11-02 => 2027-11-02,EC 256 / sha256ecdsaWithECEncryption,034a3ff947be39c199ceb806961e516d,BFE7BA21A2FA56719B61F64EE1B269D0B80B44E5,A838405EBB03F5DFD8D4A9572AE6E0E3F356EC4EC134375A59DB7B195DC3EC44,DigiCert Global Root G3,DigiCert Inc,US,www.digicert.com
RapidSSL TLS ECC CA G1,DigiCert Inc,US,www.digicert.com,2017-11-02 => 2027-11-02,EC 256 / sha256ecdsaWithECEncryption,0ded78965349b368d41f7ee3e1eed1eb,4C4780EAB1A3627794DC0F285E5947D7D8D86370,FC16D53203BD9187D69CC99D2DA551076B4DCB298140D6751F7A012966C99FDD,DigiCert Global Root G3,DigiCert Inc,US,www.digicert.com
Thawte TLS ECC CA G1,DigiCert Inc,US,www.digicert.com,2017-11-02 => 2027-11-02,EC 256 / sha256ecdsaWithECEncryption,044c95221a9f6620d6c804db2e284839,DB5555779BE0E3F862BA9E92A28683743C3E9E0D,AE82201F565E0439B7F4AD689327594EB974A4F781B1A6CBFED59BD382317F13,DigiCert Global Root G3,DigiCert Inc,US,www.digicert.com
TrustAsia TLS ECC CA G9,"TrustAsia Technologies, Inc.",CN,Domain Validated SSL,2017-11-02 => 2027-11-02,EC 256 / sha256ecdsaWithECEncryption,08a21d92604ea18a123af953f205aee6,8D1211BC0800A22D80EA9F7116D02AD78C886758,877F24CE70F4A3047E4EA70BEC1BC31BE9B6533ADFF3A393FF9BFB3C81029446,DigiCert Global Root G3,DigiCert Inc,US,www.digicert.com
GeoTrust ECC CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,EC 256 / sha256WithECEncryption,0f1c20273b1e33422d6733811789dd5a,0230FEEBDB5087EA5B75B046E25C8542738EFE86,D8E269A6EB08CBC337AD6578C72135787484C99D2FB08CCED029E806BE1040FC,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
GeoTrust RSA CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,RSA 2048 / sha256WithRSAEncryption,0546fe1823f7e1941da39fce14c46173,7CCC2A87E3949F20572B18482980505FA90CAC3B,8CC34E11C167045824ADE61C4907A6440EDB2C4398E99C112A859D661F8E2BC7,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
RapidSSL ECC CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,EC 256 / sha256WithECEncryption,0d5e0e1de231a1c10a1cfc69cde3b77c,63B76FFF3B3864EEB549B1E37851D46B603FEDDC,A0D1523A0BF663550EB9081E9BDDEDA12814F9570B7697D95DF2EA53D4FF75E3,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
RapidSSL RSA CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,RSA 2048 / sha256WithRSAEncryption,08a5a246cd4b5c8c83d702b4bbab5349,98C6A8DC887963BA3CF9C2731CBDD3F7DE05AC2D,C790B47128447EC0B60F22BFCB795D71C326DD910EE12CBB4CC5A86191EB91BC,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
Thawte ECC CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,EC 256 / sha256WithECEncryption,0f67f8f2c89c6bf55a19ef6be42c33d7,F915BA545C9357AEE20520094D423A0D48931D63,6E62CBE3E42A41C50405B3E2F1A44257683267856184AF9C02112070AC836936,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
Thawte RSA CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,RSA 2048 / sha256WithRSAEncryption,025a8aef196f7e0d6c2104b21ae6702b,4DEEA7060D80BABF1643B4E0F0104C82995075B7,9A5EECEE9C7D898BD81DC3BF066DAF6AEFB8DB1C59676206D2BFDD682312C6F6,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
GeoTrust EV ECC CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,EC 256 / sha256WithECEncryption,09236478fa284e6625f91a06dba21055,EEAD9BDCA1D26419A56C1964A7E1A2760D079D93,BF3558F877E89D27DAA60DA9671676570DFBEB215D84AC5A37122D6776B78F6E,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
GeoTrust EV RSA CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,RSA 2048 / sha256WithRSAEncryption,03feef1bb5b648349a20950f8bc69753,A399046417B67E320D3EFA69D7DCE6B8BFE8A9F2,185C0AE470423B9D4678A7C1055B5B48D90705505B794E215C063851336981F4,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Thawte EV ECC CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,EC 256 / sha256WithECEncryption,0327e854e116ce01907c0fbf2df1f8cc,E5DFFEC88EA6D2E00A45AA4EE58FD584B12DB51A,F74C3B2C7E455D654D9EE5AAA712789CCB267B961C1A1CE48A69C860CD193678,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Thawte EV RSA CA 2018,DigiCert Inc,US,www.digicert.com,2017-11-06 => 2027-11-06,RSA 2048 / sha256WithRSAEncryption,06968f964ae82356c74e17c2b5365b00,9E848F52575C6B1A69D6AB62E0288BFAD4A5564E,93569B26AA535E3E07C891C6BD2FA9DC0939C24DB4B3726AD8531EDB17C497CA,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Wells Fargo Public Trust Certification Authority 01 G2,Wells Fargo & Company,US,Organization Validated TLS,2017-11-15 => 2027-11-15,RSA 2048 / sha256WithRSAEncryption,0767a8e8f024043e268e74f95eea5629,95810887FF7D3681D14494FA4769C4E415B8D661,CF7CFA4F9DBCCBCA6D20EFDEBEAD4E173B34E76BDA1EB1E619F44E06E95FC208,DigiCert Global Root G2,DigiCert Inc,US,www.digicert.com
Encryption Everywhere DV TLS CA - G1,DigiCert Inc,US,www.digicert.com,2017-11-27 => 2027-11-27,RSA 2048 / sha256WithRSAEncryption,0279ac458bc1b245abf98053cd2c9bb1,594F2DD10352C2360138EE35AA906F973AA30BD3,15EB0A75C673ABFBDCD2FAFC02823C91FE6CBC36E00788442C8754D72BEC3717,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
Encryption Everywhere DV TLS CA - G2,DigiCert Inc,US,www.digicert.com,2017-11-27 => 2027-11-27,RSA 2048 / sha256WithRSAEncryption,0de0ffb5ee62cb61109f608c9ced5ed3,ED6302684A3259AA04F10FE9A97A8FD30B965D26,B1AC8CFB181B9C9354E1775FCBDFCFE7898C5CC9A17D76315B57C112EEE55234,DigiCert Global Root G2,DigiCert Inc,US,www.digicert.com
TrustAsia TLS ECC CA,"TrustAsia Technologies, Inc.",CN,Domain Validated SSL,2017-12-08 => 2027-12-08,EC 256 / sha256WithECEncryption,073fc9a47b060218f6e0a86ae9fc3e3b,E6BE2020029C76EA03FB9FA0D87BA0B0DFE19E2F,68D0B2E8C85BF009B4DB39AC8B5E2FA8E1FD9FD1E5028704EA9288C7E472AAEB,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
TrustAsia TLS RSA CA,"TrustAsia Technologies, Inc.",CN,Domain Validated SSL,2017-12-08 => 2027-12-08,RSA 2048 / sha256WithRSAEncryption,0580267f06f29553348e1c185a5eee2e,EC4191D1F357BD539483286FA67FD219143D2611,79F1F5AB697DEBF195F5B7DA65F95399682EDAEB80115B9D42A6AE5E2FA98802,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
Aetna Inc. Secure EV CA2,Aetna Inc,US,,2017-12-08 => 2027-12-08,RSA 2048 / sha256WithRSAEncryption,0835117d1d2c75a4b6065848146b3f5e,60794AAAFDC2D70BFA0F9C5E2E08AEA08A03EF22,1DDFDDF883E3945B2CB24FA5B83788379C5AB058422AB979DF66C77473988687,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
WoTrus EV SSL Pro CA,WoTrus CA Limited,CN,,2018-02-09 => 2028-02-09,RSA 2048 / sha256WithRSAEncryption,06bcadb9e850072b2b283210545f1f1b,0750D9E76816800CC02FD1F4E1C058B5E51AE32A,070531383CCD100D3E9CD964DB07AA5E845A0686F2EAE3BC8A627B182057B1F1,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
WoTrus OV SSL Pro CA,WoTrus CA Limited,CN,,2018-02-09 => 2028-02-09,RSA 2048 / sha256WithRSAEncryption,051fe778d7e1ccb9b96d2b2b68140164,F519492BD08F146837D187160222BEA26D8F8AEF,09033FE23996FE4A59C4C0F523D2560E31DFE4C17D8EA1403D429A971F4BD65A,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Secure Site Pro CA,DigiCert Inc,US,www.digicert.com,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,08f439418480384dcb4209e5e08a2b9d,15BEBFEE45AB1A211F8BF1F714211A67D0419887,BA6A0C1170E1C7323860749B5E7B0ED365975D8FC90740B15D70F843A2394942,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
Secure Site Pro ECC CA,DigiCert Inc,US,www.digicert.com,2018-04-27 => 2028-04-27,EC 384 / sha384WithECEncryption,0e2c1163df4b0601a72e846c85076706,6EA6F744EB418F0526E707A32284E984F314A508,A206644F57AFD10B94169498858981C16D633858CE0C88B57CF14FA2A92AACFD,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
TrustAsia ECC OV TLS Pro CA,"TrustAsia Technologies, Inc.",CN,,2018-04-27 => 2028-04-27,EC 384 / sha384WithECEncryption,0bdeb9a78391e002ab1a5b325b45eb0f,4DAD76B487EE491B76CE116DF6573DC1BAC6F423,F1CACA6AB2350A7668C13E41960908681DAFCC7E368DCB8D47FECF9631390481,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
TrustAsia OV TLS Pro CA,"TrustAsia Technologies, Inc.",CN,,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,016e93d18fd7734c523cdc33ed3a0859,E662855E5086C3FF5920F707CCCACD429B49DBDE,33E8A4ED48930760CE1AD7A2D44F079B22F660052753976109E6FC74752552BD,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
Secure Site Extended Validation CA,DigiCert Inc,US,www.digicert.com,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,0150a304f3e640ec2e0e3de35b319bf0,69E3EFD970902347E2EFD1621946E49284FCAC06,1A8D790AF9B2B34D7DD6AF61B5AA4CF1380B86095CBAC2BCAB35BD566D0180C3,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Secure Site Pro Extended Validation CA,DigiCert Inc,US,www.digicert.com,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,08975eff86762cb1248acbea818232c1,D1C2567600C715A6F2FB68BE21D47E6230961180,3883E6DE4917A46B594ECC2D2AC6A95D43E7EAA8E089A91F9BC104FF16DF8DE6,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Secure Site Pro Extended Validation ECC CA,DigiCert Inc,US,www.digicert.com,2018-04-27 => 2028-04-27,EC 384 / sha384WithECEncryption,0f668e9c5afe53f6fa691844ab5636ed,369910336A442F1DC22B0F29C4F1B89B654D0FA4,C3804DE51E8C17052220AE1CAD3D383E54D5B7DC28843C42F0DBD9913C1E8658,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
TrustAsia ECC EV TLS Pro CA,"TrustAsia Technologies, Inc.",CN,,2018-04-27 => 2028-04-27,EC 384 / sha384WithECEncryption,020e7eb3047ebbd12a3e5ce62be0d98d,E8027816EE2E854C68780B38004CE428CDE49A35,2DAAC6FDFAC16C548C53FF1198254D7E937761D22A1E7CC5C1A9462E971461F5,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
TrustAsia EV TLS Pro CA,"TrustAsia Technologies, Inc.",CN,,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,01d3d5f5228ce0a95427fd1a534f8e05,3D921F98D4E1D347EBC86D703CA4C351E2912AD3,4AFFE4FEF39464D1788C660AF591D5E601B261C4811DF0A3DD9D61CAFE8E5ED8,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
.NET Foundation Projects Code Signing CA,.NET Foundation,US,,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,07b0418da51e148c331bbcdeb7138323,0F5726A0FE659DDA2D6AC5CB75AC9E769961FD7A,024F162B1D09F6A0868C38B4C8B4257C1EEA6C5A31589416D520CF1624917EB3,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
DigiCert SHA2 Assured ID Code Signing,DigiCert Inc,US,www.digicert.com,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,044a1651ad5b23105bec9e2c17759a79,94D8797C449A29A8C7D45D356B2E42DE0CD8638C,4ADB819C250A2E183313405499D8735299C88F970A5019A27566B27E5818F41B,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
DigiCert EV Code Signing CA (SHA2) G1,DigiCert Inc,US,www.digicert.com,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,0fdcf643c50b95e919c3526ee4fbd58d,895AD9908B79963EEFD659B3D5F21EDE329131BA,8A78B966C73D769040C1A81C32168CEF8B9B9E96ECC2D33CC4ABB5A0CF8C1C67,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
TrustAsia Secure Email CA,"TrustAsia Technologies, Inc.",CN,www.trustasia.com,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,05b636074d6c5bb128465808c82cba9a,D940313B0A32F1120938A85A9A723A2B160DCE13,047217772051D292238F3355F5C5435E9B84364CCD143FC49F9C31CD605439F0,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
TrustAsia Secure Enterprise Email CA,"TrustAsia Technologies, Inc.",CN,www.trustasia.com,2018-04-27 => 2028-04-27,RSA 2048 / sha256WithRSAEncryption,06088021039a00247a585188703bd2fa,E8371256CDC650646452C4C9E12B56F547C33297,3D774B65EE95FD6EFD1C8732B57E607C9BEE423C36E46F6E1CC8CA1F0AE62E23,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
Amazon,Amazon,US,Server CA 3B,2018-07-16 => 2028-07-16,EC 256 / sha256ecdsaWithECEncryption,06de6553f4712a18312dfda2b4846d1b36f76e,6C787156AE214CF4B04483AC4F45522C6EA504C1,ECC295B6DDCD084BA7179FB53BDD1D422CB6C0A8D94F154D4A5B17780B7279ED,Amazon Root CA 3,Amazon,US,
TrustCubes ICA G1,TRUSTCUBES LIMITED,GB,www.trustcubes.com,2018-07-18 => 2028-07-18,RSA 2048 / sha256WithRSAEncryption,099dff27cf2f5ed5553f47a35367c265,5B431B533BB5BAF22D314DB6F9C3EB1B85CB38BC,2106CC7907C64B8A5DA2FC338EE94DFFF10EF711DEDBB4FC694EE092EC532B1D,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
DigiCert Assured ID CA G2,DigiCert Inc,US,,2013-08-01 => 2028-08-01,RSA 2048 / sha256WithRSAEncryption,0f5fccfcab20f3df8e6da3d84767c293,28E96CDB1DBA273FD1A6151BE15F088F26046273,93C381CB07B353A920C2A7BED6BEBF195C68279DD0527D37F20BDD0D99C330FA,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
DigiCert Assured ID CA G3,DigiCert Inc,US,,2013-08-01 => 2028-08-01,EC 384 / sha384ecdsaWithECEncryption,0105dae255aab2954a0db2c9e6b5322c,C619BE4F415453F46D020ED79F5D5CA5C37E14AD,634FDF26C994E76A2918D9EFC4CAB9C6FCB344EF642A79C89192BCDA0ED52F4C,DigiCert Assured ID Root G3,DigiCert Inc,US,www.digicert.com
DigiCert Global CA G2,DigiCert Inc,US,,2013-08-01 => 2028-08-01,RSA 2048 / sha256WithRSAEncryption,0c8ee0c90d6a89158804061ee241f9af,D6AEE31631F7ABC56B9DE8ABECCC4108A626B104,8FAC576439C9FD3EF153B51F9EDD0D381B5DF7B87559CEBECA04297DD44A639B,DigiCert Global Root G2,DigiCert Inc,US,www.digicert.com
DigiCert Global CA G3,DigiCert Inc,US,,2013-08-01 => 2028-08-01,EC 384 / sha384ecdsaWithECEncryption,0588c00c8cc0c577667e64cba88bab49,0753C9D48FE522C8134760A5149D4ED430130317,F7541CF69D1DE1AC953ABC1FAD6F7807A34EDFE9E12C11E66A195930C23AD6C6,DigiCert Global Root G3,DigiCert Inc,US,www.digicert.com
DigiCert Trusted Server CA G4,DigiCert Inc,US,,2013-08-01 => 2028-08-01,RSA 4096 / sha384WithRSAEncryption,03637e538cfd86e1603527d6f2b80ff4,876217035658B958F359FBA589D630C4042D961B,6E8D952FDBABAD8DE3D61E094393739B5A47371A52BDCB2A3C2F8C43622F640F,DigiCert Trusted Root G4,DigiCert Inc,US,www.digicert.com
DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,US,www.digicert.com,2013-10-22 => 2028-10-22,RSA 2048 / sha256WithRSAEncryption,0c79a944b08c11952092615fe26b1d83,7E2F3A4F8FE8FA8A5730AECA029696637E986F3F,403E062A2653059113285BAF80A0D4AE422C848C9F78FAD01FC94BC5B87FEF1A,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
DigiCert SHA2 High Assurance Server CA,DigiCert Inc,US,www.digicert.com,2013-10-22 => 2028-10-22,RSA 2048 / sha256WithRSAEncryption,04e1e7a4dc5cf2f36dc02b42b85d159f,A031C46782E6E6C662C2C87C76DA9AA62CCABD8E,19400BE5B7A31FB733917700789D2F0A2471C0C9D506C0E504C06C16D7CB17C0,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
DigiCert SHA2 Assured ID Code Signing CA,DigiCert Inc,US,www.digicert.com,2013-10-22 => 2028-10-22,RSA 2048 / sha256WithRSAEncryption,0409181b5fd5bb66755343b56f955008,92C1588E85AF2201CE7915E8538B492F605B80C6,51044706BD237B91B89B781337E6D62656C69F0FCFFBE8E43741367948127862,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
DigiCert SHA2 High Assurance Code Signing CA,DigiCert Inc,US,www.digicert.com,2013-10-22 => 2028-10-22,RSA 2048 / sha256WithRSAEncryption,0b7e10903c38490ffa2f679a87a1a7b9,F7E0F449F1A2594F88856C0758F8E6F627E5F5A2,C51B83A0DE49A201A5FBE947032C04702F8CA7C2D02ADF28B73D42C8ACD1C362,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
DigiCert Document Signing CA,DigiCert Inc,US,www.digicert.com,2013-11-05 => 2028-11-05,RSA 2048 / sha256WithRSAEncryption,09c7b7dbb278243791195e6ab1338710,FB3A7F7C9DE73060094FB265E376F2CA86DA2340,B9C3073AAD74B368832F5497958E279B1D2777CAF8841713B28AB10A4BAA0810,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
DigiCert SHA2 Assured ID CA,DigiCert Inc,US,www.digicert.com,2013-11-05 => 2028-11-05,RSA 2048 / sha256WithRSAEncryption,04ae79606666901ab9c57fa66c5bdccd,E12D2E8D47B64F469F518802DFBD99C0D86D3C6A,A542BCA09C5E4579C619774AE59082BCE0F86D261C5A7A5A0F6217C10279EA7C,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
DigiCert Secure Site Japan CA,DigiCert Japan G.K.,JP,www.digicert.co.jp,2018-11-20 => 2028-11-20,RSA 2048 / sha256WithRSAEncryption,0ae3c6f3bf397f1e1d129822cfbdf186,D4F3792FFC980BEA8E4D7AC026415B20151C603B,AD14A68BEC949E84F6063419D63465D137C2ADD3E3A85E00E9E3EE82E5B4018F,DigiCert Global Root G2,DigiCert Inc,US,www.digicert.com
DigiCert Secure Site Korea CA,DigiCert Inc,US,www.digicert.com,2018-11-20 => 2028-11-20,RSA 2048 / sha256WithRSAEncryption,0a68a8c907af787f637a1be76c3b39e6,A54DAE90A72F493ABF99498AD6F88E850421054F,6555D661D37F2494A23C2D5F83479E78051B6DE76A147B506D6BEA2882B4D066,DigiCert Global Root G2,DigiCert Inc,US,www.digicert.com
RVBD Certificate Issuer,"Riverbed Technology, Inc.",US,,2018-11-20 => 2028-11-20,RSA 2048 / sha256WithRSAEncryption,08540bfd0757e5705407bdb9dabdd2f8,BA165B814B20173491785B4FEB6A9FCB6D8987A5,72563CC98ADA2C5D2126542ACC908154AEB1F9D6F7E83A55C09744C7D7ADDDBA,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
Riverbed Certificate Issuer,"Riverbed Technology, Inc.",US,,2018-11-20 => 2028-11-20,RSA 2048 / sha256WithRSAEncryption,088fbfde79f7bb956d7671043fe2d878,7CF122A67CFF212E2F666B22A498337A5E27F9E9,BB39497035ED9583D286CDE70FB644EB95806598092B1E8D8F11BC035D7A476A,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
Thawte Partner CA,DigiCert Inc,US,www.digicert.com,2018-11-20 => 2028-11-20,RSA 2048 / sha256WithRSAEncryption,07ec4bdecdc5e85c58185a1f17a4fea1,C3009374A025A86A0AECB99A2698B12ED7BED103,635AF6889F49060FE0E7BABC0F23314FB118F3B18243DD17F47D8647A69684B1,DigiCert Global Root G2,DigiCert Inc,US,www.digicert.com
DigiCert Grid Trust CA G2,DigiCert Grid,US,www.digicert.com,2014-01-08 => 2029-01-08,RSA 2048 / sha256WithRSAEncryption,0e09471bb1195a612bb4a4b5b0ed5609,0601404257780C9FE6B3D90372803F38EE3A606A,28CBB4E0D9C4EE6D04AC8F14717605AE3A4BD8CBF8D081B27AF6EDB2F3D76A32,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
DigiCert TLS ICA VRSN Universal,"DigiCert, Inc.",US,www.digicert.com,2019-01-17 => 2029-01-16,RSA 2048 / sha256WithRSAEncryption,624eb4eb276d30b648d38d0d5f6b0b80,A551B4FB405D3E557C5CB0921C6A18EC321A41B8,BA5B6E5DFEBDAE1C80BD72790BC85BCC6538AB4613023DA706CE826415F5E5B3,VeriSign Universal Root Certification Authority,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 2008 VeriSign, Inc. - For authorized use only"
DigiCert Secure Site ECC CA-1,DigiCert Inc,US,www.digicert.com,2019-02-15 => 2029-02-15,EC 256 / sha256WithECEncryption,0b5bf65b6ba7fbd08b290d904537dee0,9370C73F6C67904310C912BAE29694418D120825,99935E20424535EC016F337B2BE68F1349DE66CCE4CA5AB367F8F3738215B833,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
NGA CA G4,National Geospatial-Intelligence Agency,US,,2024-02-27 => 2029-02-26,RSA 2048 / sha256WithRSAEncryption,0b1b8aab11d97e8b2daa2279dd87900e,CAA1F9E1FB668A6D2B3F6E715FAD2ED3D452A6FC,69F46822031ECDE9D85B563BAFC3915051B396986562F2DDF160075C29FB8DF0,DigiCert Global Root G2,DigiCert Inc,US,www.digicert.com
ZIPAIR-Public-CA-G2,"ZIPAIR Tokyo, K.K.",JP,,2024-03-13 => 2029-03-12,RSA 2048 / sha256WithRSAEncryption,0e0ad0a5ed8f11e6d8214c016b1fa5ca,A41DEA6B3CE1DDD5FBFB9D03E3922C82A19FF15C,3762B847AC53E454AF86A2ECC3E328B2696F370AECDA70C726B6A877FF266252,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
DigiCert Secure Site Korea EV ECC CA,DigiCert Inc,US,www.digicert.com,2019-03-25 => 2029-03-25,EC 256 / sha256WithECEncryption,02dc85d7b8f309945089ae3d279d943d,24F0CB9573124FD7C90F634A3C64125740C7A0C5,B0505BF2947F0807ABAE2D42C19343EAF08D1DDE3F8745B0589A57362792E470,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
DigiCert Secure Site Korea ECC CA,DigiCert Inc,US,www.digicert.com,2019-03-25 => 2029-03-25,EC 256 / sha256WithECEncryption,0d618cadb61aa94f68118233cfd4a45d,706999673FFB7387DF6D2E75E46A4FA3D223A2E9,EF9138993654DF92D2FB5860E28DE8818A9F49DB56ECB689A67A7FC2D5881DD2,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
DigiCert Secure Site Korea EV CA,DigiCert Inc,US,www.digicert.com,2019-03-25 => 2029-03-25,RSA 2048 / sha256WithRSAEncryption,08b4f5ef34068dfd4b1516e4c35ac01d,64C109B4F8FBB2005FC411F0A6E1700D6BC5B7D0,C022D5CEAA275F2A6268FA79AC35653B3A730DEFA41F9CD8817D6D159BD33097,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
Hewlett Packard Enterprise Collaboration CA G22,Hewlett Packard Enterprise Company,US,Class 2 Managed PKI Individual Subscriber CA,2019-04-01 => 2029-04-01,RSA 2048 / sha256WithRSAEncryption,07498f89ce3e3ac23012ad86cffd5bc8,72016C03DCF8A30E17F2A273890D5A27313ED496,AB480D8F7D720A161C9671843EADEAAAABC5447EFD9EF8F3470874D927CCB861,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
Hewlett Packard Enterprise Collaboration CA G21,Hewlett Packard Enterprise Company,US,Class 2 Managed PKI Individual Subscriber CA,2019-04-01 => 2029-04-01,RSA 2048 / sha256WithRSAEncryption,0712e27b518a85eee531d84adab6c3fe,7B4DAEFDEFDEAE36A57504A13B0F39D5845F001F,B6E4C8D9D575A61404DE568E27BD6F3048D7B0F803065E2F6526260BDCA3D211,DigiCert Assured ID Root G2,DigiCert Inc,US,www.digicert.com
DigiCert Secure Auth CA,DigiCert Inc,US,www.digicert.com,2014-04-23 => 2029-04-23,RSA 2048 / sha256WithRSAEncryption,083665dc40f96b26b2deadfc6d4bc56d,2EA5966C9A5B12E1AE7C9674AEFFDDA2222FB22F,24E9F20AC167BB8F09DE8A1E9968CC53F0B5F3A4948F51B8647B40B186C75EBE,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
GeoTrust SupremeSSL EV 1 CA,SupremeSSL,NL,www.supremessl.com,2019-05-07 => 2029-05-07,RSA 2048 / sha256WithRSAEncryption,0f3f82d7935f82fe148cdef9cf8fb951,DF314D8D356EB8A665FBBA5C32308AE0BE61A137,0FB6CE80909D19AFEE6A88C959E9E9AA6466715BCE05C6449FEB530A086DAF14,DigiCert High Assurance EV Root CA,DigiCert Inc,US,www.digicert.com
GeoTrust SupremeSSL 1 CA,SupremeSSL,NL,www.supremessl.com,2019-05-07 => 2029-05-07,RSA 2048 / sha256WithRSAEncryption,0eae04861620afe07ab8caa2a884135e,C988AC60AC552349C26D040CF1AAAB065C4DE30B,354FCFC6162A0EE2205DBEF68931E78033ECE9D125E0824E49BAEBF82DFDD167,DigiCert Global Root CA,DigiCert Inc,US,www.digicert.com
